short_name,long_name,player_positions,overall,position,nationality
J. Bellingham,Jude Victor William Bellingham,"CAM, CM",90,CAM,England
F. Valverde,Federico Santiago Valverde Dipetta,"CM, CDM, RB",89,RDM,Uruguay
J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",89,RDM,Germany
A. Hakimi,Achraf Hakimi Mouhأشرف حكيمي,"RB, RM",89,RB,Morocco
N. Barella,Nicolò Barella,CM,87,RCM,Italy
H. Çalhanoğlu,Hakan Çalhanoğlu,"CDM, CM",86,CDM,Türkiye
F. Dimarco,Federico Dimarco,"LB, LM",85,LB,Italy
A. Mac Allister,Alexis Mac Allister,"CM, CDM",87,LDM,Argentina
Rodri,Rodrigo Hernández Cascante,"CDM, CM",90,CDM,Spain
A. Griezmann,Antoine Griezmann,"ST, LM, CAM",85,SUB,France
T. Hernández,Theo Bernard François Hernández,"LB, LM",84,LB,France
Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",87,LCM,Portugal
J. Alvarez,Julián Álvarez,ST,87,LS,Argentina
T. Alexander-Arnold,Trent John Alexander-Arnold,"RB, RM",86,RB,England
Sancet,Oihan Sancet Tirapu,"CAM, CM, ST",84,CAM,Spain
A. Rabiot,Adrien Rabiot-Provost,"CAM, CM",83,SUB,France
R. De Paul,Rodrigo Javier de Paul,"CM, CDM, CAM",84,SUB,Argentina
S. Tonali,Sandro Tonali,"CDM, CM",86,CDM,Italy
Marcos Llorente,Marcos Llorente Moreno,"RB, CM, RM",84,RB,Spain
L. Goretzka,Leon Christoph Goretzka,"CM, CDM, CAM",82,LDM,Germany
Vitinha,Vítor Machado Ferreira,"CM, CDM, CAM",89,CM,Portugal
M. Salah,Mohamed Salah Hamed Ghalyمحمد صلاح,"RM, RW",91,RM,Egypt
M. Sabitzer,Marcel Sabitzer,"CDM, CM",80,SUB,Austria
D. Rice,Declan Rice,"CDM, CM",87,LCM,England
João Cancelo,João Pedro Cavaco Cancelo,"RB, LB, RM",84,RB,Portugal
F. de Jong,Frenkie de Jong,"CM, CDM",87,RDM,Netherlands
T. Reijnders,Tijjani Martinus Jan Reijnders Lekatompessy,"CM, CDM, CAM",86,LCM,Netherlands
D. Szoboszlai,Dominik Szoboszlai,"CAM, CM",83,SUB,Hungary
Raphinha,Raphael Dias Belloli,"LM, LW",89,LM,Brazil
B. Saka,Bukayo Saka,"RW, RM",88,RW,England
S. Milinković-Savić,Sergej Milinković-SavićСергеј Милинковић-Савић,"CM, CDM, CAM",84,RCM,Serbia
Pedri,Pedro González López,"CM, CDM, CAM",89,LDM,Spain
Bruno Guimarães,Bruno Guimarães Rodrigues Moura,"CM, CDM",86,RCM,Brazil
O. Dembélé,Masour Ousmane Dembélé,"ST, RW, CAM",90,ST,France
João Neves,João Pedro Gonçalves Neves,"CM, CDM",85,RCM,Portugal
R. Gravenberch,Ryan Jiro Gravenberch,"CDM, CM",85,RDM,Netherlands
L. Martínez,Lautaro Javier Martínez,ST,88,LS,Argentina
H. Mkhitaryan,Henrikh Mkhitaryan,CM,83,LCM,Armenia
K. De Bruyne,Kevin De Bruyne,"CM, CAM",87,LCM,Belgium
T. Koopmeiners,Teun Koopmeiners,"CAM, CM",81,SUB,Netherlands
K. Kvaratskhelia,Khvicha Kvaratskheliaხვიჩა კვარაცხელია,"LW, RW, LM",87,LW,Georgia
Grimaldo,Alejandro Grimaldo García,"LM, LB, LW",84,LM,Spain
R. James,Reece James,RB,81,RB,England
F. Kostić,Filip KostićФилип Костић,"LM, LB, LW",81,SUB,Serbia
C. Gallagher,Conor Gallagher,"CM, CAM, LM",81,SUB,England
Mikel Merino,Mikel Merino Zazón,"CM, ST",83,SUB,Spain
E. Fernández,Enzo Jeremías Fernández,"CM, CDM, CAM",84,LDM,Argentina
Fred,Frederico Rodrigues de Paula Santos,"CM, CDM, CAM",80,LDM,Brazil
D. Alaba,David Olatukunbo Alaba,"CB, LB, LM",82,SUB,Austria
I. Bennacer,Ismaël Bennacerاسماعيل بن ناصر,"CDM, CM",80,RES,Algeria
B. Yılmaz,Barış Alper Yılmaz,"LM, RM, LW",80,LM,Türkiye
Pedro Porro,Pedro Antonio Porro Sauceda,"RB, RM",82,RB,Spain
K. Mbappé,Kylian Mbappé Lottin,"ST, LW, LM",91,ST,France
M. Ødegaard,Martin Ødegaard,"CM, CAM",87,RCM,Norway
Otávio,Otávio Edmilson da Silva Monteiro,"CAM, CM, RM",82,SUB,Portugal
O. Kökçü,Orkun Kökçü,"CM, CAM, CDM",82,LDM,Türkiye
M. Acuña,Marcos Javier Acuña,"LB, LM",78,LB,Argentina
S. McTominay,Scott Francis McTominay,"CM, CAM, LM",85,LM,Scotland
H. Kane,Harry Edward Kane,ST,89,ST,England
E. Camavinga,Eduardo Celmi Camavinga,"CM, CDM, LB",83,SUB,France
